key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,,,trials.thisRepN,trials.intensity,,,key_resp.corr,,trials.thisRepN,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,52,51,up,0.005,db,0.050549865,0.0011616,161.8295617,161.8295617,162.1290718,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,52,0.050549865,,2,0,in,52,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,53,52,up,0.005,db,0.050549865,0.0011459,164.2773352,164.2773352,164.5767793,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,53,0.050549865,,,1,cor,53,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,54,53,up,0.005,db,0.050578973,0.0011762,166.7417838,166.7417838,167.0411362,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,54,0.050578973,,,0,in,54,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,55,54,up,0.005,db,0.050608097,0.0012104,169.0893989,169.0893989,169.3889341,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,55,0.050608097,,2,0,in,55,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,56,55,up,0.005,db,0.050608097,0.0011579,171.4872472,171.4872472,171.7866956,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,56,0.050608097,,,1,cor,56,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,57,56,up,0.005,db,0.050608097,0.0011444,174.1514404,174.1514404,174.4508896,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,57,0.050608097,,,1,cor,57,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,58,57,down,0.005,db,0.050578973,0.0011224,176.6158166,176.6158166,176.9152792,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,58,0.050578973,,,1,cor,58,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,59,58,up,0.005,db,0.050608097,0.0010993,179.0801023,179.0801023,179.3797481,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,59,0.050608097,,1,0,in,59,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,60,59,up,0.005,db,0.050608097,0.0012029,181.4946671,181.4946671,181.7941041,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,60,0.050608097,,,1,cor,60,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,61,60,up,0.005,db,0.050637237,0.0011188,184.1420862,184.1420862,184.4416314,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,61,0.050637237,,,0,in,61,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,62,61,up,0.005,db,0.050666395,0.0011702,186.6063489,186.6063489,186.9060119,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,62,0.050666395,,,0,in,62,,14,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,63,62,up,0.005,db,0.050695569,0.0011485,189.3371527,189.3371527,189.636737,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,63,0.050695569,,,0,in,63,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,64,63,up,0.005,db,0.05072476,0.0011653,191.8349232,191.8349232,192.1344072,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,64,0.05072476,,,0,in,64,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,65,64,up,0.005,db,0.050753968,0.0011979,194.3325851,194.3325851,194.6320132,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,65,0.050753968,,5,0,in,65,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,66,65,up,0.005,db,0.050753968,0.0010168,196.7469791,196.7469791,197.0464582,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,66,0.050753968,,,1,cor,66,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,67,66,up,0.005,db,0.050753968,0.0011801,199.3112762,199.3112762,199.6107043,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,67,0.050753968,,,1,cor,67,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,68,67,up,0.005,db,0.050783193,0.0011431,201.8754893,201.8754893,202.1750141,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,68,0.050783193,,1,0,in,68,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,69,68,up,0.005,db,0.050783193,0.0012007,204.4063984,204.4063984,204.7060442,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,69,0.050783193,,,1,cor,69,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,70,69,up,0.005,db,0.050812435,0.0011767,207.0040888,207.0040888,207.3035434,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,70,0.050812435,,,0,in,70,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,71,70,up,0.005,db,0.050841693,0.0011121,209.4350916,209.4350916,209.7346088,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,71,0.050841693,,,0,in,71,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,72,71,up,0.005,db,0.050870968,0.0011795,211.8828491,211.8828491,212.1822832,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,72,0.050870968,,3,0,in,72,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,73,72,up,0.005,db,0.050870968,0.0010536,214.2306382,214.2306382,214.5301496,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,73,0.050870968,,,1,cor,73,,,,,,
