trials.thisN,num_distr,mouse.time,mouse.clicked_name,,,,,
93,5,1.5621071,['target'],,,,,
94,5,1.5378916,['target'],,,,,
95,5,0.9803899,['target'],,,,,
96,5,1.4115644,['target'],,,,,
101,5,1.4262727,['target'],,,,,
102,5,1.1228132,['target'],,,,,
103,5,1.2310514,['target'],,,,,
104,5,1.0412924,['target'],,,,,
107,5,1.2035415,['target'],,,,,
108,5,0.8493642,['target'],,,,,
112,5,1.5690572,['target'],,,,,
119,5,1.0205062,['target'],,,,,
120,5,1.2876177,['target'],,,,,
121,5,1.0240094,['target'],,,,,
122,5,1.0065676,['target'],,,,,
123,5,1.0140497,['target'],,,,,
127,5,1.0279614,['target'],,,,,
128,5,1.1795736,['target'],,,,,
129,5,1.1516469,['target'],,,,,
131,5,1.2867756,['target'],,,,,
135,5,1.2637443,['target'],,,,,
137,5,0.8645468,['target'],,,,,
139,5,1.0866143,['target'],,,,,
140,5,1.4826649,['target'],,,,,
141,5,0.9679921,['target'],,,,,
142,5,1.361809,['target'],,,,,
143,5,1.4018226,['target'],,,,,
145,5,0.8710198,['target'],,,,,
147,5,1.4334874,['target'],,,,,
150,5,1.2122021,['target'],,,,,
151,5,1.2793144,['target'],,,,,
153,5,1.1439932,['target'],,,,,
155,5,1.2497307,['target'],,,,,
158,5,1.3694728,['target'],,,,,
159,5,1.3247587,['target'],,,,,
163,5,1.0825747,['target'],,,,,
165,5,1.0325054,['target'],,,,,
166,5,1.1027513,['target'],,,,,
168,5,1.1678306,['target'],,,,,
169,5,1.1221998,['target'],,,,,
170,5,0.8852113,['target'],,,,,
172,5,1.0968075,['target'],,,,,
173,5,1.0908351,['target'],,,,,
175,5,0.8966435,['target'],,,,,
176,5,1.0182081,['target'],,,,,
178,5,0.9337379,['target'],,,,,
179,5,1.2080417,['target'],,,,,
182,5,1.4156256,['target'],,,,,
184,5,1.0185282,['target'],,,,,
185,5,1.1898338,['target'],,,,,
186,5,0.9854741,['target'],,,,,
187,5,1.1585045,['target'],,,,,
188,5,1.0498946,['target'],,,,,
195,5,1.4066462,['target'],,,,,
197,5,2.2143732,['target'],,,,,
199,5,1.2694322,['target'],,,,,
2,10,1.9904479,['target'],,,,,
6,10,1.0965786,['target'],,,,,
7,10,1.2067898,['target'],,,,,
8,10,1.3695452,['target'],,,,,
9,10,0.9268464,['target'],,,,,
10,10,0.9178184,['target'],,,,,
11,10,1.4963371,['target'],,,,,
12,10,1.0486824,['target'],,,,,
13,10,1.1493782,['target'],,,,,
14,10,1.2273613,['target'],,,,,
16,10,0.958455,['target'],,,,,
18,10,1.425017,['target'],,,,,
21,10,1.5060223,['target'],,,,,
22,10,1.3027632,['target'],,,,,
27,10,1.741214,['target'],,,,,
28,10,1.1258633,['target'],,,,,
31,10,1.5841287,['target'],,,,,
33,10,1.0620718,['target'],,,,,
37,10,1.5745122,['target'],,,,,
38,10,0.8853004,['target'],,,,,
39,10,0.7823818,['target'],,,,,
41,10,0.9346772,['target'],,,,,
42,10,1.8657103,['target'],,,,,
45,10,0.9952608,['target'],,,,,
47,10,1.0318697,['target'],,,,,
50,10,0.9471311,['target'],,,,,
51,10,1.3330829,['target'],,,,,
